CLNDR_DT,Revenue,CLNDR_DT_MONTHSEQ,Auth_Date,Auth_Date_MonthSeq,Category,project
31-12-2023,0,180,30-06-2023,174,Area6,Project7105
31-01-2024,0,181,30-06-2023,174,Area6,Project7105
29-02-2024,0,182,30-06-2023,174,Area6,Project7105
31-03-2024,0,183,30-06-2023,174,Area6,Project7105
30-04-2024,0,184,30-06-2023,174,Area6,Project7105
31-05-2024,0,185,30-06-2023,174,Area6,Project7105
31-05-2023,2156.365927,173,31-05-2023,173,Area2,Project4595
30-06-2023,-145.5024936,174,31-05-2023,173,Area2,Project4595
31-07-2023,1592.997045,175,31-05-2023,173,Area2,Project4595
31-08-2023,1963.789237,176,31-05-2023,173,Area2,Project4595
30-09-2023,4236.686922,177,31-05-2023,173,Area2,Project4595
31-10-2023,5984.529117,178,31-05-2023,173,Area2,Project4595
30-11-2023,2394.789155,179,31-05-2023,173,Area2,Project4595
31-12-2023,4039.001146,180,31-05-2023,173,Area2,Project4595
31-01-2024,50406.29193,181,31-05-2023,173,Area2,Project4595
29-02-2024,72984.37528,182,31-05-2023,173,Area2,Project4595
31-03-2024,556.5273427,183,31-05-2023,173,Area2,Project4595
30-04-2024,1407.017424,184,31-05-2023,173,Area2,Project4595
31-03-2023,16748.74183,171,31-03-2023,171,Area6,Project14106
30-04-2023,185452.8773,172,31-03-2023,171,Area6,Project14106
31-05-2023,241919.4298,173,31-03-2023,171,Area6,Project14106
30-06-2023,396865.4912,174,31-03-2023,171,Area6,Project14106
31-07-2023,531000.8628,175,31-03-2023,171,Area6,Project14106
31-08-2023,710879.7263,176,31-03-2023,171,Area6,Project14106
30-09-2023,657459.8144,177,31-03-2023,171,Area6,Project14106
31-10-2023,736919.138,178,31-03-2023,171,Area6,Project14106
30-11-2023,560995.0415,179,31-03-2023,171,Area6,Project14106
31-12-2023,595261.3792,180,31-03-2023,171,Area6,Project14106
31-01-2024,573900.4531,181,31-03-2023,171,Area6,Project14106
29-02-2024,726238.7622,182,31-03-2023,171,Area6,Project14106
30-06-2023,0,174,30-06-2023,174,Area3,Project10984
31-07-2023,0,175,30-06-2023,174,Area3,Project10984
31-08-2023,0,176,30-06-2023,174,Area3,Project10984
30-09-2023,3241.74,177,30-06-2023,174,Area3,Project10984
31-10-2023,963.7457271,178,30-06-2023,174,Area3,Project10984
30-11-2023,770.0688334,179,30-06-2023,174,Area3,Project10984
31-12-2023,232.8514241,180,30-06-2023,174,Area3,Project10984
31-01-2024,3585.01,181,30-06-2023,174,Area3,Project10984
29-02-2024,1915.20985,182,30-06-2023,174,Area3,Project10984
31-03-2024,-324.5897462,183,30-06-2023,174,Area3,Project10984
30-04-2024,0,184,30-06-2023,174,Area3,Project10984
31-05-2024,0,185,30-06-2023,174,Area3,Project10984
31-07-2023,1576.47357,175,31-07-2023,175,Area3,Project11091
31-08-2023,5500.894827,176,31-07-2023,175,Area3,Project11091
30-09-2023,0.0012248,177,31-07-2023,175,Area3,Project11091
31-07-2023,0,175,31-07-2023,175,Area3,Project7007
31-08-2023,0,176,31-07-2023,175,Area3,Project7007
30-09-2023,0,177,31-07-2023,175,Area3,Project7007
31-10-2023,1266,178,31-07-2023,175,Area3,Project7007
30-11-2023,1383.838038,179,31-07-2023,175,Area3,Project7007
31-12-2023,-338.5844616,180,31-07-2023,175,Area3,Project7007
31-01-2024,0,181,31-07-2023,175,Area3,Project7007
29-02-2024,0,182,31-07-2023,175,Area3,Project7007
31-03-2024,0,183,31-07-2023,175,Area3,Project7007
30-04-2024,19422.40299,184,31-07-2023,175,Area3,Project7007
31-05-2024,9194.16778,185,31-07-2023,175,Area3,Project7007
31-03-2023,0,171,31-03-2023,171,Area2,Project12473
30-04-2023,55858.35554,172,31-03-2023,171,Area2,Project12473
31-05-2023,104290.595,173,31-03-2023,171,Area2,Project12473
30-06-2023,138452.1832,174,31-03-2023,171,Area2,Project12473
31-07-2023,113434.655,175,31-03-2023,171,Area2,Project12473
31-08-2023,145160.9439,176,31-03-2023,171,Area2,Project12473
30-09-2023,173715.3876,177,31-03-2023,171,Area2,Project12473
31-10-2023,138742.0776,178,31-03-2023,171,Area2,Project12473
30-11-2023,115688.5094,179,31-03-2023,171,Area2,Project12473
31-12-2023,114470.5982,180,31-03-2023,171,Area2,Project12473
31-01-2024,152012.2712,181,31-03-2023,171,Area2,Project12473
29-02-2024,172277.7536,182,31-03-2023,171,Area2,Project12473
31-03-2023,0,171,31-03-2023,171,Area3,Project5443
30-04-2023,10174.34404,172,31-03-2023,171,Area3,Project5443
31-05-2023,14918.21319,173,31-03-2023,171,Area3,Project5443
30-06-2023,11916.76551,174,31-03-2023,171,Area3,Project5443
31-07-2023,13426.20587,175,31-03-2023,171,Area3,Project5443
31-08-2023,11848.27918,176,31-03-2023,171,Area3,Project5443
30-09-2023,10470.87188,177,31-03-2023,171,Area3,Project5443
31-10-2023,10771.55162,178,31-03-2023,171,Area3,Project5443
30-11-2023,11765.65507,179,31-03-2023,171,Area3,Project5443
31-12-2023,6980.555641,180,31-03-2023,171,Area3,Project5443
31-01-2024,12962.5,181,31-03-2023,171,Area3,Project5443
29-02-2024,9073.581645,182,31-03-2023,171,Area3,Project5443
28-02-2023,0,170,28-02-2023,170,Area2,Project6418
31-03-2023,13276.92644,171,28-02-2023,170,Area2,Project6418
30-04-2023,18932.59234,172,28-02-2023,170,Area2,Project6418
31-05-2023,63941.50813,173,28-02-2023,170,Area2,Project6418
30-06-2023,69275.42399,174,28-02-2023,170,Area2,Project6418
31-07-2023,50190.88948,175,28-02-2023,170,Area2,Project6418
31-08-2023,41795.09767,176,28-02-2023,170,Area2,Project6418
30-09-2023,30479.41338,177,28-02-2023,170,Area2,Project6418
31-10-2023,27231.90342,178,28-02-2023,170,Area2,Project6418
30-11-2023,31814.66848,179,28-02-2023,170,Area2,Project6418
31-12-2023,7025.40942,180,28-02-2023,170,Area2,Project6418
31-01-2024,3240.7508,181,28-02-2023,170,Area2,Project6418
31-03-2023,0,171,31-03-2023,171,Area1,Project13604
30-04-2023,0,172,31-03-2023,171,Area1,Project13604
31-05-2023,0,173,31-03-2023,171,Area1,Project13604
30-06-2023,53378.7941,174,31-03-2023,171,Area1,Project13604
31-07-2023,41578.47329,175,31-03-2023,171,Area1,Project13604
31-08-2023,73844.23434,176,31-03-2023,171,Area1,Project13604
30-09-2023,56054.62687,177,31-03-2023,171,Area1,Project13604
31-10-2023,51409.18133,178,31-03-2023,171,Area1,Project13604
30-11-2023,108251.7821,179,31-03-2023,171,Area1,Project13604
31-12-2023,65994.26235,180,31-03-2023,171,Area1,Project13604
31-01-2024,41788.39117,181,31-03-2023,171,Area1,Project13604
29-02-2024,8842.135629,182,31-03-2023,171,Area1,Project13604
31-03-2023,38372.4,171,31-03-2023,171,Area2,Project6733
30-04-2023,19211.85,172,31-03-2023,171,Area2,Project6733
31-05-2023,18698.85,173,31-03-2023,171,Area2,Project6733
30-06-2023,18211.5,174,31-03-2023,171,Area2,Project6733
31-07-2023,17696.21,175,31-03-2023,171,Area2,Project6733
31-08-2023,34541.4,176,31-03-2023,171,Area2,Project6733
30-09-2023,0,177,31-03-2023,171,Area2,Project6733
31-10-2023,0,178,31-03-2023,171,Area2,Project6733
30-11-2023,0,179,31-03-2023,171,Area2,Project6733
31-12-2023,0,180,31-03-2023,171,Area2,Project6733
31-01-2024,0,181,31-03-2023,171,Area2,Project6733
29-02-2024,0,182,31-03-2023,171,Area2,Project6733
31-03-2023,0,171,31-03-2023,171,Area1,Project11778
30-04-2023,0,172,31-03-2023,171,Area1,Project11778
31-05-2023,149901.3981,173,31-03-2023,171,Area1,Project11778
30-06-2023,158152.1618,174,31-03-2023,171,Area1,Project11778
31-07-2023,130199.8446,175,31-03-2023,171,Area1,Project11778
31-08-2023,136290.1931,176,31-03-2023,171,Area1,Project11778
30-09-2023,121059.7912,177,31-03-2023,171,Area1,Project11778
31-10-2023,134909.8026,178,31-03-2023,171,Area1,Project11778
30-11-2023,106473.8013,179,31-03-2023,171,Area1,Project11778
31-12-2023,104752.4515,180,31-03-2023,171,Area1,Project11778
31-01-2024,154036.0318,181,31-03-2023,171,Area1,Project11778
29-02-2024,204802.9695,182,31-03-2023,171,Area1,Project11778
30-04-2023,0,172,30-04-2023,172,Area3,Project5550
31-05-2023,0,173,30-04-2023,172,Area3,Project5550
30-06-2023,0,174,30-04-2023,172,Area3,Project5550
31-07-2023,0,175,30-04-2023,172,Area3,Project5550
31-08-2023,0,176,30-04-2023,172,Area3,Project5550
30-09-2023,0,177,30-04-2023,172,Area3,Project5550
31-10-2023,0,178,30-04-2023,172,Area3,Project5550
30-11-2023,0,179,30-04-2023,172,Area3,Project5550
31-12-2023,0,180,30-04-2023,172,Area3,Project5550
31-01-2024,0,181,30-04-2023,172,Area3,Project5550
29-02-2024,0,182,30-04-2023,172,Area3,Project5550
31-03-2024,0,183,30-04-2023,172,Area3,Project5550
31-03-2023,13448.03298,171,31-03-2023,171,Area2,Project5470
30-04-2023,51698.14599,172,31-03-2023,171,Area2,Project5470
31-05-2023,55456.16018,173,31-03-2023,171,Area2,Project5470
30-06-2023,46296.03392,174,31-03-2023,171,Area2,Project5470
31-07-2023,51731.36543,175,31-03-2023,171,Area2,Project5470
31-08-2023,66423.11764,176,31-03-2023,171,Area2,Project5470
30-09-2023,75329.96112,177,31-03-2023,171,Area2,Project5470
31-10-2023,56950.88184,178,31-03-2023,171,Area2,Project5470
30-11-2023,62787.89825,179,31-03-2023,171,Area2,Project5470
31-12-2023,68026.47037,180,31-03-2023,171,Area2,Project5470
31-01-2024,89952.39833,181,31-03-2023,171,Area2,Project5470
29-02-2024,124354.2397,182,31-03-2023,171,Area2,Project5470
31-03-2023,0,171,31-03-2023,171,Area6,Project4605
30-04-2023,0,172,31-03-2023,171,Area6,Project4605
31-05-2023,0,173,31-03-2023,171,Area6,Project4605
30-06-2023,0,174,31-03-2023,171,Area6,Project4605
31-07-2023,21802.69426,175,31-03-2023,171,Area6,Project4605
31-08-2023,17013.55173,176,31-03-2023,171,Area6,Project4605
30-09-2023,11725.27556,177,31-03-2023,171,Area6,Project4605
31-10-2023,6938.248863,178,31-03-2023,171,Area6,Project4605
30-11-2023,53.19700423,179,31-03-2023,171,Area6,Project4605
31-12-2023,-211.5169659,180,31-03-2023,171,Area6,Project4605
31-01-2024,1100.63796,181,31-03-2023,171,Area6,Project4605
29-02-2024,3865.067363,182,31-03-2023,171,Area6,Project4605
30-06-2023,53775.19,174,30-06-2023,174,Area5,Project13534
31-07-2023,5514.411782,175,30-06-2023,174,Area5,Project13534
31-08-2023,15106.31275,176,30-06-2023,174,Area5,Project13534
30-09-2023,30829.34648,177,30-06-2023,174,Area5,Project13534
31-10-2023,31443.11034,178,30-06-2023,174,Area5,Project13534
30-11-2023,21704.90628,179,30-06-2023,174,Area5,Project13534
31-12-2023,14057.38655,180,30-06-2023,174,Area5,Project13534
31-01-2024,14210.78,181,30-06-2023,174,Area5,Project13534
29-02-2024,38154.3345,182,30-06-2023,174,Area5,Project13534
31-03-2024,36758.10131,183,30-06-2023,174,Area5,Project13534
30-04-2024,51923.35875,184,30-06-2023,174,Area5,Project13534
31-05-2024,84967.8158,185,30-06-2023,174,Area5,Project13534
31-08-2023,19780.25,176,31-08-2023,176,Area3,Project4603
30-09-2023,5801.066578,177,31-08-2023,176,Area3,Project4603
31-10-2023,2126.475647,178,31-08-2023,176,Area3,Project4603
30-11-2023,5031.714194,179,31-08-2023,176,Area3,Project4603
31-12-2023,969.4921043,180,31-08-2023,176,Area3,Project4603
31-01-2024,300.5,181,31-08-2023,176,Area3,Project4603
29-02-2024,6196.615728,182,31-08-2023,176,Area3,Project4603
31-03-2024,390.0008147,183,31-08-2023,176,Area3,Project4603
30-04-2024,1647.239546,184,31-08-2023,176,Area3,Project4603
31-08-2023,0,176,31-08-2023,176,Area2,Project4599
30-09-2023,0,177,31-08-2023,176,Area2,Project4599
31-10-2023,0,178,31-08-2023,176,Area2,Project4599
30-11-2023,0,179,31-08-2023,176,Area2,Project4599
31-12-2023,0,180,31-08-2023,176,Area2,Project4599
31-01-2024,48036.91905,181,31-08-2023,176,Area2,Project4599
29-02-2024,71392.53781,182,31-08-2023,176,Area2,Project4599
31-03-2024,9074.919633,183,31-08-2023,176,Area2,Project4599
30-04-2024,62490.40064,184,31-08-2023,176,Area2,Project4599
31-05-2024,84558.40969,185,31-08-2023,176,Area2,Project4599
30-04-2023,4603.68,172,30-04-2023,172,Area3,Project4600
31-05-2023,3095.512883,173,30-04-2023,172,Area3,Project4600
30-06-2023,19497.74418,174,30-04-2023,172,Area3,Project4600
31-07-2023,16256.41248,175,30-04-2023,172,Area3,Project4600
31-08-2023,4891.490547,176,30-04-2023,172,Area3,Project4600
30-09-2023,6885.674175,177,30-04-2023,172,Area3,Project4600
31-10-2023,8837.27711,178,30-04-2023,172,Area3,Project4600
30-11-2023,9048.443593,179,30-04-2023,172,Area3,Project4600
31-01-2024,9453.82,181,30-04-2023,172,Area3,Project4600
29-02-2024,4685.514203,182,30-04-2023,172,Area3,Project4600
31-03-2024,2537.334456,183,30-04-2023,172,Area3,Project4600
30-11-2023,0,179,30-11-2023,179,Area2,Project4598
31-12-2023,42688.2306,180,30-11-2023,179,Area2,Project4598
31-01-2024,88151.69,181,30-11-2023,179,Area2,Project4598
29-02-2024,48222.99244,182,30-11-2023,179,Area2,Project4598
31-03-2024,12508.39181,183,30-11-2023,179,Area2,Project4598
30-04-2024,10411.74849,184,30-11-2023,179,Area2,Project4598
31-05-2024,28227.68222,185,30-11-2023,179,Area2,Project4598
31-03-2023,0,171,31-03-2023,171,Area3,Project4587
30-04-2023,0,172,31-03-2023,171,Area3,Project4587
31-05-2023,59690.26,173,31-03-2023,171,Area3,Project4587
30-06-2023,81953.63233,174,31-03-2023,171,Area3,Project4587
31-07-2023,30344.18905,175,31-03-2023,171,Area3,Project4587
31-08-2023,56822.30942,176,31-03-2023,171,Area3,Project4587
30-09-2023,92830.93324,177,31-03-2023,171,Area3,Project4587
31-10-2023,151593.0256,178,31-03-2023,171,Area3,Project4587
30-11-2023,110774.2103,179,31-03-2023,171,Area3,Project4587
31-12-2023,128396.7673,180,31-03-2023,171,Area3,Project4587
31-01-2024,17221.73,181,31-03-2023,171,Area3,Project4587
29-02-2024,103986.9624,182,31-03-2023,171,Area3,Project4587
30-06-2023,0,174,30-06-2023,174,Area3,Project4588
31-07-2023,0,175,30-06-2023,174,Area3,Project4588
31-08-2023,0,176,30-06-2023,174,Area3,Project4588
30-09-2023,0,177,30-06-2023,174,Area3,Project4588
31-10-2023,0,178,30-06-2023,174,Area3,Project4588
30-11-2023,60279.05363,179,30-06-2023,174,Area3,Project4588
31-12-2023,51557.97185,180,30-06-2023,174,Area3,Project4588
31-01-2024,85454.14,181,30-06-2023,174,Area3,Project4588
29-02-2024,66592.09142,182,30-06-2023,174,Area3,Project4588
31-03-2024,33881.43262,183,30-06-2023,174,Area3,Project4588
30-04-2024,238330.854,184,30-06-2023,174,Area3,Project4588
31-05-2024,68991.22507,185,30-06-2023,174,Area3,Project4588
30-04-2024,0,184,30-04-2024,184,Area3,Project7890
31-05-2024,53620.59,185,30-04-2024,184,Area3,Project7890
31-03-2023,17285.49,171,31-03-2023,171,Area1,Project339
30-04-2023,3461.72,172,31-03-2023,171,Area1,Project339
31-05-2023,3369.28,173,31-03-2023,171,Area1,Project339
30-06-2023,3281.47,174,31-03-2023,171,Area1,Project339
31-07-2023,3267.61,175,31-03-2023,171,Area1,Project339
31-08-2023,-11346.43,176,31-03-2023,171,Area1,Project339
30-09-2023,0,177,31-03-2023,171,Area1,Project339
31-10-2023,0,178,31-03-2023,171,Area1,Project339
30-11-2023,0,179,31-03-2023,171,Area1,Project339
31-12-2023,0,180,31-03-2023,171,Area1,Project339
31-01-2024,0,181,31-03-2023,171,Area1,Project339
29-02-2024,0,182,31-03-2023,171,Area1,Project339
31-03-2023,2235.05,171,31-03-2023,171,Area1,Project11407
30-04-2023,447.61,172,31-03-2023,171,Area1,Project11407
31-05-2023,435.66,173,31-03-2023,171,Area1,Project11407
30-06-2023,424.3,174,31-03-2023,171,Area1,Project11407
31-07-2023,422.51,175,31-03-2023,171,Area1,Project11407
31-08-2023,-2886.44,176,31-03-2023,171,Area1,Project11407
31-01-2024,-0.01,181,31-03-2023,171,Area1,Project11407
28-02-2023,0,170,28-02-2023,170,Area3,Project6523
31-03-2023,1280.267225,171,28-02-2023,170,Area3,Project6523
30-04-2023,2642.36835,172,28-02-2023,170,Area3,Project6523
31-05-2023,792.1404336,173,28-02-2023,170,Area3,Project6523
30-06-2023,5522.186255,174,28-02-2023,170,Area3,Project6523
31-07-2023,8796.724949,175,28-02-2023,170,Area3,Project6523
31-08-2023,-4338.314368,176,28-02-2023,170,Area3,Project6523
30-09-2023,1148.632083,177,28-02-2023,170,Area3,Project6523
30-04-2023,0,172,30-04-2023,172,Area3,Project319
31-05-2023,0,173,30-04-2023,172,Area3,Project319
30-06-2023,0,174,30-04-2023,172,Area3,Project319
31-07-2023,0,175,30-04-2023,172,Area3,Project319
31-08-2023,0,176,30-04-2023,172,Area3,Project319
30-09-2023,0,177,30-04-2023,172,Area3,Project319
31-10-2023,0,178,30-04-2023,172,Area3,Project319
30-11-2023,0,179,30-04-2023,172,Area3,Project319
31-12-2023,1586.89418,180,30-04-2023,172,Area3,Project319
31-01-2024,4388.65,181,30-04-2023,172,Area3,Project319
29-02-2024,1398.350468,182,30-04-2023,172,Area3,Project319
31-03-2024,289.0268368,183,30-04-2023,172,Area3,Project319
31-07-2023,11734.34,175,31-07-2023,175,Area3,Project12657
31-08-2023,1494.850722,176,31-07-2023,175,Area3,Project12657
30-09-2023,5728.325584,177,31-07-2023,175,Area3,Project12657
31-10-2023,30469.70922,178,31-07-2023,175,Area3,Project12657
30-11-2023,-11305.81742,179,31-07-2023,175,Area3,Project12657
31-12-2023,-173.9655387,180,31-07-2023,175,Area3,Project12657
31-01-2024,-933.13,181,31-07-2023,175,Area3,Project12657
29-02-2024,-3177.734023,182,31-07-2023,175,Area3,Project12657
31-03-2024,-577.9616418,183,31-07-2023,175,Area3,Project12657
31-01-2024,179.1,181,31-01-2024,181,Area3,Project2406
31-05-2023,41206.46,173,31-05-2023,173,Area2,Project4617
30-06-2023,20066.25,174,31-05-2023,173,Area2,Project4617
31-07-2023,19981.46,175,31-05-2023,173,Area2,Project4617
31-08-2023,19501,176,31-05-2023,173,Area2,Project4617
30-09-2023,19161.85,177,31-05-2023,173,Area2,Project4617
31-10-2023,18907.49,178,31-05-2023,173,Area2,Project4617
30-11-2023,18850.97,179,31-05-2023,173,Area2,Project4617
31-12-2023,19557.53,180,31-05-2023,173,Area2,Project4617
31-01-2024,19359.69,181,31-05-2023,173,Area2,Project4617
29-02-2024,18907.49,182,31-05-2023,173,Area2,Project4617
31-03-2024,18879.23,183,31-05-2023,173,Area2,Project4617
30-04-2024,18398.77,184,31-05-2023,173,Area2,Project4617
30-04-2023,5945.76,172,30-04-2023,172,Area2,Project4619
31-05-2023,2893.5,173,30-04-2023,172,Area2,Project4619
30-06-2023,2818.09,174,30-04-2023,172,Area2,Project4619
31-07-2023,23629.95,175,30-04-2023,172,Area2,Project4619
31-08-2023,23061.76,176,30-04-2023,172,Area2,Project4619
30-09-2023,22660.69,177,30-04-2023,172,Area2,Project4619
31-10-2023,22359.88,178,30-04-2023,172,Area2,Project4619
30-11-2023,22293.03,179,30-04-2023,172,Area2,Project4619
31-12-2023,23128.61,180,30-04-2023,172,Area2,Project4619
31-01-2024,22894.65,181,30-04-2023,172,Area2,Project4619
29-02-2024,22359.88,182,30-04-2023,172,Area2,Project4619
31-03-2024,22326.46,183,30-04-2023,172,Area2,Project4619
31-08-2023,0,176,31-08-2023,176,Area3,Project4620
30-09-2023,0,177,31-08-2023,176,Area3,Project4620
31-10-2023,0,178,31-08-2023,176,Area3,Project4620
30-11-2023,0,179,31-08-2023,176,Area3,Project4620
31-12-2023,0,180,31-08-2023,176,Area3,Project4620
31-01-2024,0,181,31-08-2023,176,Area3,Project4620
29-02-2024,0,182,31-08-2023,176,Area3,Project4620
31-03-2024,0,183,31-08-2023,176,Area3,Project4620
30-04-2024,0,184,31-08-2023,176,Area3,Project4620
31-05-2024,0,185,31-08-2023,176,Area3,Project4620
31-05-2023,2229.91,173,31-05-2023,173,Area3,Project4824
30-06-2023,10820.11019,174,31-05-2023,173,Area3,Project4824
31-07-2023,12191.09122,175,31-05-2023,173,Area3,Project4824
31-08-2023,11523.01622,176,31-05-2023,173,Area3,Project4824
30-09-2023,13968.48757,177,31-05-2023,173,Area3,Project4824
31-10-2023,8938.805682,178,31-05-2023,173,Area3,Project4824
30-11-2023,10300.24269,179,31-05-2023,173,Area3,Project4824
31-12-2023,1912.363107,180,31-05-2023,173,Area3,Project4824
31-01-2024,14435.61,181,31-05-2023,173,Area3,Project4824
29-02-2024,5599.883897,182,31-05-2023,173,Area3,Project4824
31-03-2024,12000.88827,183,31-05-2023,173,Area3,Project4824
30-04-2024,3963.766787,184,31-05-2023,173,Area3,Project4824
31-03-2023,0,171,31-03-2023,171,Area2,Project38
30-04-2023,0,172,31-03-2023,171,Area2,Project38
31-05-2023,0,173,31-03-2023,171,Area2,Project38
30-06-2023,0,174,31-03-2023,171,Area2,Project38
31-07-2023,0,175,31-03-2023,171,Area2,Project38
31-08-2023,0,176,31-03-2023,171,Area2,Project38
30-09-2023,0,177,31-03-2023,171,Area2,Project38
31-10-2023,0,178,31-03-2023,171,Area2,Project38
30-11-2023,0,179,31-03-2023,171,Area2,Project38
31-12-2023,0,180,31-03-2023,171,Area2,Project38
31-01-2024,0,181,31-03-2023,171,Area2,Project38
29-02-2024,0,182,31-03-2023,171,Area2,Project38
30-04-2023,0,172,30-04-2023,172,Area3,Project4613
31-05-2023,0,173,30-04-2023,172,Area3,Project4613
30-06-2023,8551.473305,174,30-04-2023,172,Area3,Project4613
31-07-2023,7616.371377,175,30-04-2023,172,Area3,Project4613
31-08-2023,6275.753248,176,30-04-2023,172,Area3,Project4613
30-09-2023,8116.313621,177,30-04-2023,172,Area3,Project4613
31-10-2023,-1048.314843,178,30-04-2023,172,Area3,Project4613
30-11-2023,7179.718403,179,30-04-2023,172,Area3,Project4613
31-12-2023,3361.547494,180,30-04-2023,172,Area3,Project4613
31-01-2024,3583.97,181,30-04-2023,172,Area3,Project4613
29-02-2024,4789.041183,182,30-04-2023,172,Area3,Project4613
31-03-2024,4406.35687,183,30-04-2023,172,Area3,Project4613
31-03-2023,0,171,31-03-2023,171,Area1,Project11698
30-04-2023,2907.739429,172,31-03-2023,171,Area1,Project11698
31-05-2023,2980.387711,173,31-03-2023,171,Area1,Project11698
30-06-2023,7989.226664,174,31-03-2023,171,Area1,Project11698
